01.06.2020 00:00;Bel_A53_M5_3007;Vwz_A53_M5_3007;Bel_A57_M2_1138;Vwz_A57_M2_1138;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D31;Vwz_D31;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H53_M3_3006;Vwz_H53_M3_3006;Bel_H53_M6_1140;Vwz_H53_M6_1140;Bel_H57_M1_1137;Vwz_H57_M1_1137;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
08.12.2021 11:00;30;29910;0;0;87;1155552;174;967003;65;486977;0;3600000;160;836440;497;575034;0;0;0;0;32;31980;0;0;32;31950;0;0;0;0;0;0;0;0
08.12.2021 12:00;33;33016;0;0;75;868355;163;772431;97;570119;0;3600000;155;726952;503;575328;0;0;0;0;36;36730;0;0;36;36001;0;0;0;0;0;0;0;0
08.12.2021 13:00;33;32970;0;0;88;1071612;161;734973;97;656822;0;3600000;147;728451;568;760255;0;0;0;0;39;38960;0;0;39;39300;0;0;0;0;0;0;0;0
08.12.2021 14:00;36;35980;0;0;95;1080609;197;784296;110;637222;0;3600000;161;802818;631;923830;0;0;0;0;35;35717;0;0;36;35960;0;0;0;0;0;0;0;0
08.12.2021 15:00;32;31960;0;0;83;1076482;195;1077619;69;351650;0;3600000;127;551715;674;1229323;0;0;0;0;39;39617;0;0;40;39980;0;0;0;0;0;0;0;0
08.12.2021 16:00;35;34117;0;0;81;1130752;185;1084165;84;473530;0;3600000;155;852124;719;1303191;0;0;0;0;36;35950;0;0;37;36920;0;0;0;0;0;0;0;0
08.12.2021 17:00;32;31960;0;0;79;789744;170;775955;88;551140;0;3600000;133;742486;631;1241385;0;0;0;0;36;35950;0;0;36;35940;0;0;0;0;0;0;0;0
08.12.2021 18:00;32;31970;0;0;74;925586;141;577552;88;667209;0;3600000;127;834410;582;1081443;0;0;0;0;36;35970;0;0;37;36930;0;0;0;0;0;0;0;0
08.12.2021 19:00;32;31950;0;0;62;787981;95;434578;81;480026;0;3600000;88;477350;397;712166;0;0;0;0;34;33920;0;0;34;33960;0;0;0;0;0;0;0;0
08.12.2021 20:00;28;27990;0;0;38;534382;69;262814;23;210400;0;3600000;49;273758;289;311335;0;0;0;0;30;30034;0;0;31;30990;0;0;0;0;0;0;0;0
08.12.2021 21:00;24;23970;0;0;28;179810;48;72780;13;58100;0;3600000;39;254102;221;304211;0;0;0;0;21;20960;0;0;20;19970;0;0;0;0;0;0;0;0
08.12.2021 22:00;19;18980;0;0;25;114980;39;47960;7;65150;0;3600000;40;291411;158;205690;0;0;0;0;18;17980;0;0;18;17980;0;0;0;0;0;0;0;0
08.12.2021 23:00;14;13970;0;0;8;64340;14;9930;3;45380;0;3600000;23;150600;103;98986;0;0;0;0;15;14990;0;0;15;14960;0;0;0;0;0;0;0;0
09.12.2021 00:00;15;14980;0;0;6;51832;9;7940;1;300;0;3600000;6;24800;42;35700;0;0;0;0;8;7990;0;0;8;8000;0;0;0;0;0;0;0;0
09.12.2021 01:00;2;2000;0;0;1;11310;5;2520;1;580;0;3600000;13;115960;46;46500;0;0;0;0;4;4000;0;0;4;4000;0;0;0;0;0;0;0;0
09.12.2021 02:00;0;0;0;0;3;7550;2;1550;1;34390;0;3600000;10;26030;23;18540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.12.2021 03:00;3;2980;0;0;2;980;2;1750;1;200;0;3600000;1;9050;15;12890;0;0;0;0;2;1990;0;0;2;2000;0;0;0;0;0;0;0;0
09.12.2021 04:00;6;6000;0;0;7;12370;4;36560;2;5140;0;3600000;6;62910;30;29830;0;0;0;0;10;10000;0;0;10;9960;0;0;0;0;0;0;0;0
09.12.2021 05:00;23;22770;0;0;9;69670;12;20640;1;13750;0;3600000;18;97175;106;107415;0;0;0;0;26;25980;0;0;27;26950;0;0;0;0;0;0;0;0
09.12.2021 06:00;31;31170;0;0;30;245846;42;61790;12;37420;0;3600000;51;277737;262;346540;0;0;0;0;34;33940;1;1000;34;33950;0;0;0;0;0;0;0;0
09.12.2021 07:00;35;34950;0;0;64;833193;83;357640;10;13270;0;3600000;112;678509;462;850570;0;0;0;0;38;37990;3;2990;38;37991;0;0;0;0;0;0;0;0
09.12.2021 08:00;32;31950;0;0;74;1060732;165;688788;16;123494;0;3600000;155;904145;466;846154;0;0;0;0;40;39940;2;2000;39;38825;0;0;0;0;0;0;0;0
09.12.2021 09:00;34;33960;0;0;92;1194988;192;869946;31;199350;0;3600000;159;871018;499;697004;0;0;0;0;34;33950;1;1000;35;34950;0;0;0;0;0;0;0;0
09.12.2021 10:00;33;32960;0;0;87;999089;187;1138594;51;495895;0;3600000;147;866773;590;927195;0;0;0;0;32;32920;0;0;32;31970;0;0;0;0;0;0;0;0
09.12.2021 11:00;29;28960;0;0;81;857655;165;870717;77;598593;0;3600000;170;854669;518;842297;0;0;0;0;32;31960;0;0;32;31960;0;0;0;0;0;0;0;0
09.12.2021 12:00;33;32950;0;0;76;970712;145;942777;85;499349;0;3600000;148;725262;545;664707;0;0;0;0;34;33950;0;0;33;32950;0;0;0;0;0;0;0;0
09.12.2021 13:00;35;34980;0;0;62;940750;165;1014829;81;545044;0;3600000;162;817867;541;771549;0;0;0;0;41;40960;0;0;41;40970;0;0;0;0;0;0;0;0
09.12.2021 14:00;36;35930;0;0;77;1146847;163;972317;76;581788;0;3600000;150;792137;612;906167;0;0;0;0;37;36950;0;0;36;37227;0;0;0;0;0;0;0;0
09.12.2021 15:00;34;33950;0;0;119;1678463;187;943027;83;457825;0;3600000;133;685717;689;1193442;0;0;0;0;36;35990;0;0;36;35970;0;0;0;0;0;0;0;0
09.12.2021 16:00;34;33950;0;0;96;1170158;180;1281828;100;592230;0;3600000;161;707620;705;1281978;0;0;0;0;36;36000;0;0;38;37980;0;0;0;0;0;0;0;0
09.12.2021 17:00;33;32940;0;0;79;906805;161;1091829;93;538860;0;3600000;138;726941;647;1275496;0;0;0;0;30;29970;0;0;30;29980;0;0;0;0;0;0;0;0
09.12.2021 18:00;25;24990;0;0;66;801896;112;552343;85;496520;0;3600000;136;602521;556;807171;0;0;0;0;36;35960;0;0;38;37950;0;0;0;0;0;0;0;0
09.12.2021 19:00;30;29960;0;0;71;945954;93;607805;52;378502;0;3600000;109;538182;388;526999;0;0;0;0;32;31950;0;0;33;32980;0;0;0;0;0;0;0;0
09.12.2021 20:00;28;28035;0;0;29;245540;79;253157;29;208181;0;3600000;59;239182;308;385790;0;0;0;0;31;30980;0;0;33;32960;0;0;0;0;0;0;0;0
09.12.2021 21:00;22;21960;0;0;24;184935;44;82651;14;79920;0;3600000;40;169410;222;272020;0;0;0;0;19;19000;0;0;19;19000;0;0;0;0;0;0;0;0
09.12.2021 22:00;17;16960;0;0;11;148370;32;26220;12;87285;0;3600000;43;250209;186;235437;0;0;0;0;19;18980;0;0;19;19000;0;0;0;0;0;0;0;0
